country,country_code_2_digit,country_code_3_digit,population,reported_date,source,ecdc_year_week,week_start_date,week_end_date,new_ICU_admissions_count,new_hospital_admissions_count
Belgium,BE,BEL,11455519,2021-05-16,ECDC database compiled from public online sources,2021-W19,2021-05-02,2021-05-08,,8
Belgium,BE,BEL,11455519,2021-05-09,ECDC database compiled from public online sources,2021-W18,2021-04-25,2021-05-01,,9
Belgium,BE,BEL,11455519,2021-05-02,ECDC database compiled from public online sources,2021-W17,2021-04-18,2021-04-24,,11
Belgium,BE,BEL,11455519,2021-04-25,ECDC database compiled from public online sources,2021-W16,2021-04-11,2021-04-17,,13
Belgium,BE,BEL,11455519,2021-04-18,ECDC database compiled from public online sources,2021-W15,2021-04-04,2021-04-10,,14
Belgium,BE,BEL,11455519,2021-04-11,ECDC database compiled from public online sources,2021-W14,2021-03-28,2021-04-03,,15
Belgium,BE,BEL,11455519,2021-04-04,ECDC database compiled from public online sources,2021-W13,2021-03-21,2021-03-27,,15
Belgium,BE,BEL,11455519,2021-03-28,ECDC database compiled from public online sources,2021-W12,2021-03-14,2021-03-20,,14
Belgium,BE,BEL,11455519,2021-03-21,ECDC database compiled from public online sources,2021-W11,2021-03-07,2021-03-13,,11
Belgium,BE,BEL,11455519,2021-03-14,ECDC database compiled from public online sources,2021-W10,2021-02-28,2021-03-06,,9
Belgium,BE,BEL,11455519,2021-03-07,ECDC database compiled from public online sources,2021-W09,2021-02-21,2021-02-27,,8
Belgium,BE,BEL,11455519,2021-02-28,ECDC database compiled from public online sources,2021-W08,2021-02-14,2021-02-20,,9
Belgium,BE,BEL,11455519,2021-02-21,ECDC database compiled from public online sources,2021-W07,2021-02-07,2021-02-13,,7
Belgium,BE,BEL,11455519,2021-02-14,ECDC database compiled from public online sources,2021-W06,2021-01-31,2021-02-06,,7
Belgium,BE,BEL,11455519,2021-02-07,ECDC database compiled from public online sources,2021-W05,2021-01-24,2021-01-30,,7
Belgium,BE,BEL,11455519,2021-01-31,ECDC database compiled from public online sources,2021-W04,2021-01-17,2021-01-23,,7
Belgium,BE,BEL,11455519,2021-01-24,ECDC database compiled from public online sources,2021-W03,2021-01-10,2021-01-16,,8
Belgium,BE,BEL,11455519,2021-01-17,ECDC database compiled from public online sources,2021-W02,2021-01-03,2021-01-09,,7
Belgium,BE,BEL,11455519,2021-01-10,ECDC database compiled from public online sources,2021-W01,2021-01-01,2021-01-02,,7
Belgium,BE,BEL,11455519,2021-01-03,ECDC database compiled from public online sources,2020-W53,2020-12-27,2020-12-31,,9
Belgium,BE,BEL,11455519,2020-12-27,ECDC database compiled from public online sources,2020-W52,2020-12-20,2020-12-26,,10
Belgium,BE,BEL,11455519,2020-12-20,ECDC database compiled from public online sources,2020-W51,2020-12-13,2020-12-19,,11
Belgium,BE,BEL,11455519,2020-12-13,ECDC database compiled from public online sources,2020-W50,2020-12-06,2020-12-12,,11
Belgium,BE,BEL,11455519,2020-12-06,ECDC database compiled from public online sources,2020-W49,2020-11-29,2020-12-05,,11
Belgium,BE,BEL,11455519,2020-11-29,ECDC database compiled from public online sources,2020-W48,2020-11-22,2020-11-28,,14
Belgium,BE,BEL,11455519,2020-11-22,ECDC database compiled from public online sources,2020-W47,2020-11-15,2020-11-21,,18
Belgium,BE,BEL,11455519,2020-11-15,ECDC database compiled from public online sources,2020-W46,2020-11-08,2020-11-14,,28
Belgium,BE,BEL,11455519,2020-11-08,ECDC database compiled from public online sources,2020-W45,2020-11-01,2020-11-07,,37
Belgium,BE,BEL,11455519,2020-11-01,ECDC database compiled from public online sources,2020-W44,2020-10-25,2020-10-31,,40
Belgium,BE,BEL,11455519,2020-10-25,ECDC database compiled from public online sources,2020-W43,2020-10-18,2020-10-24,,29
Belgium,BE,BEL,11455519,2020-10-18,ECDC database compiled from public online sources,2020-W42,2020-10-11,2020-10-17,,15
Belgium,BE,BEL,11455519,2020-10-11,ECDC database compiled from public online sources,2020-W41,2020-10-04,2020-10-10,,8
Belgium,BE,BEL,11455519,2020-10-04,ECDC database compiled from public online sources,2020-W40,2020-09-27,2020-10-03,,5
Belgium,BE,BEL,11455519,2020-09-27,ECDC database compiled from public online sources,2020-W39,2020-09-20,2020-09-26,,4
Belgium,BE,BEL,11455519,2020-09-20,ECDC database compiled from public online sources,2020-W38,2020-09-13,2020-09-19,,2
Belgium,BE,BEL,11455519,2020-09-13,ECDC database compiled from public online sources,2020-W37,2020-09-06,2020-09-12,,1
Belgium,BE,BEL,11455519,2020-09-06,ECDC database compiled from public online sources,2020-W36,2020-08-30,2020-09-05,,1
Belgium,BE,BEL,11455519,2020-08-30,ECDC database compiled from public online sources,2020-W35,2020-08-23,2020-08-29,,0
Belgium,BE,BEL,11455519,2020-08-23,ECDC database compiled from public online sources,2020-W34,2020-08-16,2020-08-22,,1
Belgium,BE,BEL,11455519,2020-08-16,ECDC database compiled from public online sources,2020-W33,2020-08-09,2020-08-15,,2
Belgium,BE,BEL,11455519,2020-08-09,ECDC database compiled from public online sources,2020-W32,2020-08-02,2020-08-08,,1
Belgium,BE,BEL,11455519,2020-08-02,ECDC database compiled from public online sources,2020-W31,2020-07-26,2020-08-01,,1
Belgium,BE,BEL,11455519,2020-07-26,ECDC database compiled from public online sources,2020-W30,2020-07-19,2020-07-25,,1
Belgium,BE,BEL,11455519,2020-07-19,ECDC database compiled from public online sources,2020-W29,2020-07-12,2020-07-18,,0
Belgium,BE,BEL,11455519,2020-07-12,ECDC database compiled from public online sources,2020-W28,2020-07-05,2020-07-11,,0
Belgium,BE,BEL,11455519,2020-07-05,ECDC database compiled from public online sources,2020-W27,2020-06-28,2020-07-04,,0
Belgium,BE,BEL,11455519,2020-06-28,ECDC database compiled from public online sources,2020-W26,2020-06-21,2020-06-27,,0
Belgium,BE,BEL,11455519,2020-06-21,ECDC database compiled from public online sources,2020-W25,2020-06-14,2020-06-20,,1
Belgium,BE,BEL,11455519,2020-06-14,ECDC database compiled from public online sources,2020-W24,2020-06-07,2020-06-13,,1
Belgium,BE,BEL,11455519,2020-06-07,ECDC database compiled from public online sources,2020-W23,2020-05-31,2020-06-06,,1
Belgium,BE,BEL,11455519,2020-05-31,ECDC database compiled from public online sources,2020-W22,2020-05-24,2020-05-30,,2
Belgium,BE,BEL,11455519,2020-05-24,ECDC database compiled from public online sources,2020-W21,2020-05-17,2020-05-23,,3
Belgium,BE,BEL,11455519,2020-05-17,ECDC database compiled from public online sources,2020-W20,2020-05-10,2020-05-16,,3
Belgium,BE,BEL,11455519,2020-05-10,ECDC database compiled from public online sources,2020-W19,2020-05-03,2020-05-09,,5
Belgium,BE,BEL,11455519,2020-05-03,ECDC database compiled from public online sources,2020-W18,2020-04-26,2020-05-02,,7
Belgium,BE,BEL,11455519,2020-04-26,ECDC database compiled from public online sources,2020-W17,2020-04-19,2020-04-25,,12
Belgium,BE,BEL,11455519,2020-04-19,ECDC database compiled from public online sources,2020-W16,2020-04-12,2020-04-18,,16
Belgium,BE,BEL,11455519,2020-04-12,ECDC database compiled from public online sources,2020-W15,2020-04-05,2020-04-11,,24
Belgium,BE,BEL,11455519,2020-04-05,ECDC database compiled from public online sources,2020-W14,2020-03-29,2020-04-04,,30
Belgium,BE,BEL,11455519,2020-03-29,ECDC database compiled from public online sources,2020-W13,2020-03-22,2020-03-28,,30
Belgium,BE,BEL,11455519,2020-03-22,ECDC database compiled from public online sources,2020-W12,2020-03-15,2020-03-21,,12
